X,shScramble_2D.1_S30.1,shScramble_2D.2_S31.1,shScramble_2D.3_S32.1,shAmotL1_2D.1_S33.1,shAmotL1_2D.2_S34.1,shAmotL1_2D.3_S35.1,shScramble_3D.1_S36.1,shScramble_3D.2_S37.1,shScramble_3D.3_S38.1,shAmotL1_3D.1_S39.1,shAmotL1_3D.2_S40.1,shAmotL1_3D.3_S41.1
NSMF,678,866,839,376,508,511,555,693,512,534,386,233
LOC100288069,12,11,10,18,25,20,9,13,7,15,19,8
CEP19,398,510,420,419,544,518,294,347,259,684,544,205
NLRP1,84,140,139,223,288,182,82,135,95,178,152,114
LOC100130417,20,23,26,4,11,11,44,51,47,25,11,6
AGL,531,559,676,535,698,428,627,910,630,480,429,220
NES,2385,3191,2748,1007,1453,1095,2893,3231,2335,889,804,508
HSPA8,62625,90329,74064,18821,25636,22974,58318,65212,55702,25267,18773,11063
NUDT6,92,109,84,63,98,78,79,76,67,89,64,33
SNW1,1420,2067,1715,651,944,847,1212,1349,1025,851,690,358
FAF1,1689,2314,1981,1443,1858,1584,1384,1626,1250,1883,1337,674
C1orf159,106,136,91,65,75,70,78,69,57,79,62,32
ZCCHC4,159,251,216,211,295,234,191,169,138,244,214,107
PCBP4,1774,2395,2252,627,813,796,1355,1375,1129,947,691,296
PPP2R2C,90,140,126,111,195,118,184,203,171,232,176,93
CHMP1B,1637,2250,2013,1582,1963,1861,1336,1418,1006,1995,1622,852
ATP13A1,195,184,243,154,216,175,349,548,431,269,274,175
MRPL47,2223,3161,2668,1172,1490,1346,1967,2258,1868,1831,1400,630
TPD52,974,1293,1165,817,1269,992,802,945,762,1300,1021,398
GJC2,289,436,388,121,158,160,279,257,240,259,171,58
JPH2,158,174,148,169,249,192,90,112,77,182,127,70
PHTF2,3605,4606,4411,4080,5573,4206,2951,3704,2429,3814,3179,1864
CCDC28B,126,156,135,66,75,77,113,118,110,130,107,38
ACHE,31,63,33,25,31,46,20,15,17,34,35,13
PUSL1,126,136,129,58,61,53,99,91,86,68,70,34
CLASP1,1459,1709,1843,1614,2219,1417,1574,2138,1515,1630,1406,937
NIPA1,1096,1366,1249,1970,2807,2093,931,1168,800,2452,2069,1243
ASAH2,25,50,48,100,127,119,31,51,23,99,83,43
RAN,9783,13664,11966,5500,7228,6390,8118,8813,7483,7278,5361,2556
LSS,462,585,578,131,156,140,403,413,334,127,100,49
NIPAL3,336,469,477,501,671,526,333,363,250,566,401,258
CCNL2,874,1224,1020,791,1064,1039,379,484,378,555,420,158
SLC35D2,776,990,883,1059,1455,1325,614,678,546,1603,1147,525
PPIE,747,1073,881,676,901,852,639,751,597,1073,807,360
ZC3H11A,4162,5385,5265,5965,7889,6103,3469,4607,3197,5860,5047,3033
LOC148413,274,377,325,285,387,354,228,230,211,372,285,143
CPSF2,2221,2868,2480,1288,1800,1478,1920,2298,1795,1729,1423,731
LINC01770,17,19,18,8,14,2,15,12,6,22,6,0
ADD2,1460,1878,1804,818,1158,877,1593,1712,1077,715,629,441
TIAL1,284,288,351,478,613,271,405,655,399,432,374,218
ZNF248,581,814,650,705,1009,723,426,565,381,701,644,324
NRXN1,0,4,1,14,16,10,0,0,1,32,16,11
