Original,Replacement
abc_family_proteins_mediated_transport,ABC-Transporters
abc_transporters,ABC-Transporters
actin_cytoskeleton,Actin
activated_b_lymphocyte,Activated-B-Lymphocyte
acute_myeloid_leukemia,Leukema
adherins_junction,Adherins-Junction
AGPCR,GPCR
AJ,Adherins-Junction
alpha_synuclein,Alpha-Synuclein
alternative_splicing,Alternative-Splicing
amino_acid_synthesis,Amino-Acid-Synthesis
aml,Leukemia
ANGIOPOIETIN_RECEPTOR,Angiopoietin-Receptor
APC,APC
AR,Androgen-Receptor
ARAP,ARAP
arf6,ARF
ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX,DNA-Replication
aston_major_depressive_disorder,Aston_major_depressive_disorder
Astrocytoma,Glioma
aterosclerotic,Atherosclerosis
atp_synthesis,ATP-Synthesis
aurora_b,Aurora-B
axon_guidance,Axon-Guidance
B_Cell,B-Cell
B_Cell_lymphoma,Lymphoma
b_cll,B-Cell
b_lymphcyte,B-Cell
b_lymphocyte,B-Cell
bile_acids,Bile-Acids
bile_salts,Bile-Salts
bladder_Cancer,Bladder-Cancer
bmp7,BMP7
bone_Cancer,Bone-Cancer
brca1,BRCA1
BRCA2,BRCA2
breast_Cancer,Breast-Cancer
breast_lobular_carcinoma,Breast-Cancer
cadiac_myocytes,Cardiac-Myocytes
Cancer_head_and_neck,Head-and-Neck-Cancer
Cancer_mesenchymal_transition,EMT
carcinoma,Cancer
cct,CCT
CDH1,E-Cadherin
Cell_Cell_communication,Cell-Cell-communication
Cell_cycle,Cell-Cycle
Cell_junction,Cell-Junction
Cell_migration,Cell-Migration
Cell_surface,Cell-Surface
Cell2Cell,Cell-Cell-Communication
Cellular_transformation,Cancer
chemokines,Chemokine
CML,Leukemia
cmv,CMV
colorectal_adenoma,Colon-Cancer
colorectal_Cancer,Colon-Cancer
dendritic_Cell_maturation,Dendritic-Cell-Maturation
dna,DNA
DNA_Damage,DNA-Damage
dna_replication,DNA-Replication
dna_strand_elongation,DNA-Replication
drug_resistance,Drug-Resistance
E2F,E2F
early_genes,Early-Genes
ECADHERIN,E-Cadherin
ECM,Extracellular-Matrix
egf,EGF
electron_transport,Electron-Transport
endocrine_therapy_resistance,Endocrine-Therapy-Resistance
endometrial_Cancer,Endometrial-Cancer
epithelial_mesechymal_transition,EMT
